filepath,prediction,label,mad,ssim,dists,l2
nopathgiven,3,3,0.0,0.0,0.0,0.0
nopathgiven,8,8,0.0,0.0,0.0,0.0
nopathgiven,8,8,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,8,0,0.0,0.0,0.0,6.299595725067775e-07
nopathgiven,6,6,0.0,0.0,0.0,0.0
nopathgiven,6,6,0.0,0.0,0.0,0.0
nopathgiven,9,1,0.0,0.0,0.0,0.0
nopathgiven,4,6,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,3,3,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,8,1,0.0,0.0,0.0,7.23651851330942e-07
nopathgiven,4,0,0.0,1.0728836059570312e-06,1.3113021850585938e-06,0.0015417789109051228
nopathgiven,9,9,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,5,5,0.0,0.0,0.0,0.0
nopathgiven,7,7,0.0,0.0,0.0,0.0
nopathgiven,9,9,0.0,0.0,0.0,0.0
nopathgiven,6,8,0.0,0.0,0.0,7.766391263430705e-07
nopathgiven,5,5,0.0,0.0,0.0,0.0
nopathgiven,7,7,0.0,0.0,0.0,0.0
nopathgiven,8,8,0.0,0.0,0.0,0.0
nopathgiven,6,6,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,7,7,0.0,0.0,0.0,0.0
nopathgiven,0,0,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,4,4,0.0,0.0,0.0,0.0
nopathgiven,9,9,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,4,5,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,3,2,0.0,-1.1920928955078125e-07,0.0,8.401225386478473e-07
nopathgiven,5,4,0.0,0.0,0.0,0.0
nopathgiven,0,0,0.0,0.0,0.0,0.0
nopathgiven,9,9,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,6,6,0.0,0.0,0.0,0.0
nopathgiven,5,6,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,5,5,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,4,4,0.0,0.0,0.0,0.0
nopathgiven,5,5,0.0,0.0,0.0,0.0
nopathgiven,9,9,0.0,0.0,0.0,0.0
nopathgiven,3,2,0.0,0.0,0.0,7.766904559503018e-07
nopathgiven,4,4,0.0,0.0,0.0,8.867559131431335e-07
nopathgiven,9,1,0.0,-2.384185791015625e-07,-1.1920928955078125e-07,0.0009307920117862523
nopathgiven,9,9,0.0,0.0,0.0,0.0
nopathgiven,5,5,0.0,0.0,0.0,0.0
nopathgiven,4,4,0.0,0.0,0.0,0.0
nopathgiven,6,6,0.0,0.0,0.0,0.0
nopathgiven,5,5,0.0,0.0,0.0,0.0
nopathgiven,6,6,0.0,0.0,0.0,0.0
nopathgiven,0,0,0.0,0.0,0.0,0.0
nopathgiven,9,9,0.0,0.0,0.0,0.0
nopathgiven,3,3,0.0,0.0,0.0,0.0
nopathgiven,9,9,0.0,0.0,0.0,0.0
nopathgiven,7,7,0.0,-1.1920928955078125e-07,0.0,1.1753832040994894e-06
nopathgiven,6,6,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,9,9,0.0,0.0,0.0,0.0
nopathgiven,8,8,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,6,0,0.0,0.0,0.0,0.0
nopathgiven,5,3,0.0,0.0,0.0,8.657531225253479e-07
nopathgiven,8,8,0.0,0.0,0.0,0.0
nopathgiven,8,8,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,7,7,0.0,0.0,0.0,0.0
nopathgiven,3,7,0.0,0.0,0.0,0.0
nopathgiven,3,4,0.0,0.0,0.0,6.37465802810766e-07
nopathgiven,5,6,0.0,0.0,0.0,0.0
nopathgiven,7,7,0.0,0.0,0.0,0.0
nopathgiven,5,3,0.0,-1.1920928955078125e-07,0.0,8.802751949588128e-07
nopathgiven,6,6,0.0,0.0,0.0,0.0
nopathgiven,3,3,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,6,6,0.0,0.0,0.0,0.0
nopathgiven,2,2,0.0,0.0,0.0,0.0
nopathgiven,1,1,0.0,0.0,0.0,0.0
nopathgiven,2,2,0.0,0.0,0.0,0.0
nopathgiven,3,3,0.0,0.0,0.0,0.0
nopathgiven,4,7,0.0,0.0,0.0,8.193013627533219e-07
nopathgiven,3,2,0.0,0.0,-2.384185791015625e-07,3.761957998449361e-07
nopathgiven,4,6,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,8,8,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,8,8,0.0,0.0,0.0,0.0
nopathgiven,0,0,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,2,2,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,9,9,0.0,0.0,0.0,0.0
nopathgiven,3,3,0.0,0.0,0.0,9.350002301289351e-07
nopathgiven,3,3,0.0,0.0,0.0,0.0
nopathgiven,8,8,0.0,0.0,5.960464477539063e-08,0.0
nopathgiven,8,8,0.0,0.0,5.960464477539063e-08,0.0
nopathgiven,9,1,0.0,0.0,0.0,0.0
nopathgiven,1,1,0.0,0.0,0.0,0.0
nopathgiven,7,7,0.0,0.0,-2.384185791015625e-07,0.0
nopathgiven,7,2,0.0,-1.1920928955078125e-07,5.960464477539062e-07,0.0009431132930330932
nopathgiven,7,5,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,2,2,0.0,0.0,0.0,0.0
nopathgiven,3,7,0.0,0.0,0.0,6.519280759675894e-07
nopathgiven,8,8,0.0,0.0,0.0,0.0
nopathgiven,9,9,0.0,0.0,0.0,0.0
nopathgiven,0,0,0.0,0.0,0.0,0.0
nopathgiven,3,3,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,8,8,0.0,0.0,0.0,0.0
nopathgiven,6,6,0.0,0.0,0.0,0.0
nopathgiven,4,4,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,6,6,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,6,6,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,0,0,0.0,0.0,5.960464477539063e-08,0.0
nopathgiven,0,0,0.0,0.0,0.0,0.0
nopathgiven,7,7,0.0,0.0,0.0,0.0
nopathgiven,4,4,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,5,5,0.0,0.0,0.0,0.0
nopathgiven,6,6,0.0,0.0,0.0,0.0
nopathgiven,3,3,0.0,0.0,0.0,0.0
nopathgiven,1,1,0.0,0.0,0.0,0.0
nopathgiven,1,1,0.0,0.0,0.0,0.0
nopathgiven,3,3,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,6,6,0.0,0.0,0.0,0.0
nopathgiven,8,8,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,7,7,0.0,0.0,0.0,0.0
nopathgiven,4,4,0.0,0.0,0.0,0.0
nopathgiven,0,0,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,6,6,0.0,0.0,0.0,0.0
nopathgiven,4,2,0.0,0.0,-1.1920928955078125e-07,8.834568347992899e-07
nopathgiven,1,1,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,3,3,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,0,0,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,4,4,0.0,0.0,0.0,0.0
nopathgiven,2,2,0.0,0.0,0.0,0.0
nopathgiven,7,7,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,8,8,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,3,3,0.0,0.0,0.0,0.0
nopathgiven,1,1,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,2,2,0.0,0.0,0.0,0.0
nopathgiven,8,8,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,2,0,0.0,-4.76837158203125e-07,0.0,1.032807972478622e-06
nopathgiven,8,8,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,3,3,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,3,5,0.0,0.0,0.0,6.906185490151984e-07
nopathgiven,2,2,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,4,4,0.0,0.0,0.0,0.0
nopathgiven,1,1,0.0,0.0,0.0,0.0
nopathgiven,8,8,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,9,9,0.0,0.0,0.0,0.0
nopathgiven,1,1,0.0,0.0,0.0,0.0
nopathgiven,2,2,0.0,0.0,0.0,0.0
nopathgiven,9,9,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,7,7,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,6,2,0.0,0.0,5.960464477539063e-08,0.0
nopathgiven,8,9,0.0,0.0,0.0,0.0
nopathgiven,6,6,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,5,5,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,6,6,0.0,0.0,0.0,0.0
nopathgiven,3,3,0.0,0.0,0.0,0.0
nopathgiven,8,8,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,3,7,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,6,6,0.0,0.0,0.0,0.0
nopathgiven,5,2,0.0,0.0,0.0,0.0
nopathgiven,5,5,0.0,0.0,0.0,0.0
nopathgiven,2,2,0.0,0.0,0.0,0.0
nopathgiven,8,8,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,9,9,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,6,6,0.0,0.0,0.0,0.0
nopathgiven,0,0,0.0,0.0,0.0,0.0
nopathgiven,0,0,0.0,0.0,0.0,0.0
nopathgiven,5,5,0.0,0.0,0.0,0.0
nopathgiven,6,2,0.0,0.0,-3.5762786865234375e-07,3.946425692902267e-07
nopathgiven,9,9,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,5,5,0.0,-1.1920928955078125e-07,-1.1920928955078125e-07,9.075494631360925e-07
nopathgiven,4,4,0.0,0.0,-2.384185791015625e-07,0.0
nopathgiven,6,2,0.0,0.0,0.0,0.0
nopathgiven,1,1,0.0,0.0,0.0,0.0
nopathgiven,6,6,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,6,6,0.0,0.0,0.0,0.0
nopathgiven,8,8,0.0,0.0,0.0,5.358108410291607e-07
nopathgiven,4,4,0.0,0.0,0.0,0.0
nopathgiven,8,8,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,4,4,0.0,0.0,0.0,0.0
nopathgiven,5,5,0.0,0.0,-1.1920928955078125e-07,0.0
nopathgiven,8,0,0.0,1.7881393432617188e-07,9.5367431640625e-07,0.0009638619958423078
nopathgiven,9,9,0.0,0.0,0.0,0.0
nopathgiven,9,9,0.0,0.0,-1.1920928955078125e-07,0.0
